puzzle_id,size,size_detected,size_correct,num_cages_expected,num_cages_detected,solved,solve_time_ms
77,6,6,True,14,14,False,226.32122039794922
78,6,6,True,15,15,False,217.64898300170898
79,6,6,True,13,13,False,215.61598777770996
80,6,6,True,13,13,False,213.66310119628906
81,6,6,True,13,13,False,210.74986457824707
82,6,6,True,14,14,False,217.2260284423828
83,6,6,True,12,12,False,209.75422859191895
84,6,6,True,14,14,False,212.86702156066895
85,6,6,True,13,13,False,214.06221389770508
86,6,6,True,12,12,False,211.57097816467285
87,6,6,True,13,13,False,215.29483795166016
88,6,6,True,14,14,False,229.90798950195312
89,6,6,True,13,13,False,236.44685745239258
90,6,6,True,13,13,False,217.19694137573242
91,6,6,True,11,11,False,217.54813194274902
92,6,6,True,12,12,False,214.08510208129883
93,6,6,True,14,14,False,217.667818069458
94,6,6,True,14,14,False,215.8041000366211
95,6,6,True,15,15,False,213.93704414367676
96,6,6,True,14,14,False,216.14694595336914
97,6,6,True,13,13,False,255.65314292907715
98,6,6,True,15,15,False,221.8770980834961
99,6,6,True,12,12,False,217.09585189819336
0,7,7,True,17,17,False,247.2209930419922
1,7,7,True,17,17,False,250.85902214050293
2,7,7,True,19,19,False,251.50609016418457
3,7,7,True,16,16,False,249.10211563110352
4,7,7,True,18,18,False,245.24402618408203
5,7,7,True,18,18,False,253.31974029541016
6,7,7,True,18,18,False,249.94778633117676
7,7,7,True,18,18,False,250.8988380432129
8,7,7,True,17,17,False,251.35493278503418
9,7,7,True,19,19,False,247.45702743530273
10,7,7,True,20,20,False,247.77984619140625
11,7,7,True,17,17,False,248.92616271972656
12,7,7,True,18,18,False,246.4761734008789
13,7,7,True,18,23,False,247.21312522888184
14,7,7,True,18,24,False,262.33386993408203
15,7,7,True,16,16,False,253.19504737854004
16,7,7,True,18,18,False,261.91020011901855
17,7,7,True,16,16,False,262.1796131134033
18,7,7,True,16,16,False,261.13414764404297
19,7,7,True,18,18,False,259.9468231201172
20,7,7,True,20,20,False,254.66489791870117
21,7,7,True,18,18,False,254.6408176422119
22,7,7,True,18,18,False,247.9720115661621
23,7,7,True,19,19,False,253.81994247436523
24,7,7,True,17,17,False,243.2248592376709
25,7,7,True,20,20,False,255.26690483093262
26,7,7,True,15,15,False,252.84123420715332
27,7,7,True,16,16,False,240.9951686859131
28,7,7,True,19,19,False,311.6631507873535
29,7,7,True,19,19,False,271.9306945800781
30,7,7,True,19,19,False,279.30188179016113
31,7,7,True,18,24,False,323.40240478515625
32,7,7,True,17,17,False,288.6641025543213
33,7,7,True,17,17,False,285.5072021484375
34,7,7,True,18,18,False,273.9899158477783
35,7,7,True,17,17,False,266.5417194366455
